# E(eV)          SpinUpDos SpinDownDos
-106.919420933240445493  0.000000000000000000 0.000000000000000000
-106.909420933323488612  0.000000000000000000 0.000000000000000000
-106.899420933406545942  0.000000000000000000 0.000000000000000000
-106.889420933489589061  0.000000000000000000 0.000000000000000000
-106.879420933572646391  0.000000000000000000 0.000000000000000000
-106.869420933655689510  0.000000000000000000 0.000000000000000000
-106.859420933738746839  0.000000000000000000 0.000000000000000000
-106.849420933821789959  0.000000000000000000 0.000000000000000000
-106.839420933904833078  0.000000000000000000 0.000000000000000000
-106.829420933987890407  0.000000000000000000 0.000000000000000000
-106.819420934070933527  0.000000000000000000 0.000000000000000000
-106.809420934153990856  0.000000000000000000 0.000000000000000000
-106.799420934237033975  0.000000000000000000 0.000000000000000000
-106.789420934320077095  0.000000000000000000 0.000000000000000000
-106.779420934403134424  0.000000000000000000 0.000000000000000000
-106.769420934486177543  0.000000000000000000 0.000000000000000000
-106.759420934569234873  0.000000000000000000 0.000000000000000000
-106.749420934652277992  0.000000000000000000 0.000000000000000000
-106.739420934735321111  0.000000000000000000 0.000000000000000000
-106.729420934818378441  0.000000000000000000 0.000000000000000000
-106.719420934901421560  0.000000000000000000 0.000000000000000000
-106.709420934984478890  0.000000000000000000 0.000000000000000000
-106.699420935067522009  0.000000000000000000 0.000000000000000000
-106.689420935150565128  0.000000000000000000 0.000000000000000000
-106.679420935233622458  0.000000000000000000 0.000000000000000000
-106.669420935316665577  0.000000000000000000 0.000000000000000000
-106.659420935399722907  0.000000000000000000 0.000000000000000000
-106.649420935482766026  0.000000000000000000 0.000000000000000000
-106.639420935565823356  0.000000000000000000 0.000000000000000000
-106.629420935648866475  0.000000000000000000 0.000000000000000000
-106.619420935731909594  0.000000000000000000 0.000000000000000000
-106.609420935814966924  0.000000000000000000 0.000000000000000000
-106.599420935898010043  0.000000000000000000 0.000000000000000000
-106.589420935981067373  0.000000000000000000 0.000000000000000000
-106.579420936064110492  0.000000000000000000 0.000000000000000000
-106.569420936147153611  0.000000000000000000 0.000000000000000000
-106.559420936230210941  0.000000000000000000 0.000000000000000000
-106.549420936313254060  0.000000000000000000 0.000000000000000000
-106.539420936396311390  0.000000000000000000 0.000000000000000000
