8.563624255 -4.210990556 4.210989737  8.578928198 -4.224656037 4.206306587  8.58916347 -4.234891833 4.241539851  8.607678959 -4.253407446 4.287222151  8.637923208 -4.283651064 4.339900043  8.676807817 -4.322533497 4.384821959  8.698201777 -4.343799074 4.366253225
-4.210985278 8.563620719 4.210988587  -4.203805142 8.558076064 4.20669304  -4.214067936 8.568339732 4.243146435  -4.232906605 8.587178261 4.290074736  -4.263599845 8.61787006 4.344133163  -4.302822711 8.657094879 4.389107299  -4.343797872 8.698201481 4.366254705
8.563623784 8.563621921 -8.563623593  8.546821206 8.522159543 -8.642631157  8.518236591 8.494108909 -8.684788768  8.505193861 8.481472727 -8.708196132  8.518023843 8.494317698 -8.732053233  8.546301306 8.522733607 -8.774091614  8.563686486 8.563687113 -8.853434855
-4.210987351 -4.210989598 -8.563623175  -4.16788079 -4.192562652 -8.642628335  -4.139837333 -4.163964633 -8.684788813  -4.127200859 -4.150921862 -8.708196345  -4.140046309 -4.16376109 -8.732052963  -4.168449194 -4.192016874 -8.774094313  -4.210840716 -4.210841657 -8.853435639
-6.53136895 6.924034646 6.531374071  -6.547088345 6.824029003 6.482657542  -6.564491622 6.736224688 6.470761988  -6.575760423 6.657865245 6.470466745  -6.580495482 6.590727501 6.485234035  -6.582242275 6.536026002 6.513753454  -6.590255449 6.51729057 6.517289316
6.924026304 -6.531372834 6.531372956  6.851198095 -6.569170133 6.483180382  6.764828417 -6.585833016 6.471617673  6.68801682 -6.596630523 6.471479582  6.621802805 -6.601135141 6.485528497  6.566319637 -6.60277573 6.512982819  6.517290866 -6.590257139 6.517289682
-2.569890517 -6.531302835 6.53130071  -2.469755285 -6.515759533 6.482655217  -2.381953 -6.49835648 6.470761965  -2.303593468 -6.487087801 6.470466652  -2.236457346 -6.482354218 6.485234897  -2.181750867 -6.480597066 6.513760126  -2.163138743 -6.472482417 6.517296301
-6.531299683 -2.569883167 6.531299839  -6.493676923 -2.496925634 6.483178257  -6.477015435 -2.41055653 6.471617705  -6.466217821 -2.333745002 6.471479504  -6.461713819 -2.267533776 6.485528693  -6.460057832 -2.21204819 6.512989452  -6.472480988 -2.163139492 6.517296353
-6.531297941 -6.531301163 2.569883829  -6.521035286 -6.541813036 2.502589243  -6.521196457 -6.541652008 2.492550241  -6.521278924 -6.541569627 2.480306646  -6.521494723 -6.541353453 2.446927397  -6.521632669 -6.541218531 2.366356129  -6.531330162 -6.53133011 2.17723245
-6.531370936 -6.531374315 -6.924034908  -6.511359325 -6.551488958 -7.471565089  -6.509358468 -6.553489795 -8.082764571  -6.508990102 -6.553857935 -8.708914749  -6.509540398 -6.553313428 -9.335525372  -6.511988487 -6.55083875 -9.946568989  -6.531376806 -6.531378199 -10.49310486
6.517275191 6.517271969 6.59025646  6.50481551 6.482699635 6.550942597  6.487661958 6.466060942 6.538840117  6.47844194 6.457130547 6.532817082  6.478983617 6.457628334 6.528652541  6.483882011 6.462535548 6.520092152  6.47935401 6.479352687 6.479352251
-6.472467177 6.517279528 2.163143271  -6.464126025 6.514536515 2.140275681  -6.46875793 6.520184389 2.146484702  -6.475324409 6.524591093 2.153885534  -6.485839909 6.528538967 2.166373046  -6.500974477 6.53110435 2.184278426  -6.53131029 6.540130946 2.177222975
-2.163140136 6.517279981 6.472471061  -2.169483656 6.523754732 6.479926052  -2.178217931 6.532489787 6.503673106  -2.18314915 6.537420896 6.523530482  -2.18730497 6.541577102 6.543693274  -2.193987268 6.548262185 6.567164746  -2.21162865 6.565793609 6.565793383
6.51728167 -6.472470956 2.163142366  6.534808874 -6.484264147 2.140728298  6.540343815 -6.488615752 2.146727047  6.544545205 -6.494963471 2.153952576  6.548279347 -6.50521472 2.165806307  6.55085317 -6.520579304 2.18315016  6.54013126 -6.531310708 2.177222331
6.51728073 -2.163141634 6.472471339  6.545186485 -2.190916407 6.480745541  6.554012609 -2.199740935 6.503793901  6.558822351 -2.204550751 6.522976617  6.562938588 -2.20866673 6.542421722  6.569385638 -2.215111068 6.565238495  6.565794132 -2.211629764 6.565796083
-6.590264402 -2.163224609 2.163224104  -6.578583565 -2.180538474 2.140728294  -6.574232598 -2.186072197 2.146727054  -6.567884894 -2.19027363 2.15395258  -6.55763308 -2.19400728 2.165806715  -6.542267058 -2.196579696 2.183153775  -6.531362262 -2.186023968 2.177222226
